Cód. CNUC;Nome da UC;Categoria;Coord. Regional;Ano/Criação; Área (hect) ; Perimetro (m) ;Ato legal;Grupo;UF;Municípios;Bioma;Fuso/abrangencia
0000.00.0001;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;APA;GR 5- SUL;1992; 4.436,59 ; 36.563,46 ;DEC  528 de 20/05/1992;US;SC;Governador Celso Ramos.;MATA ATLÂNTICA;22S
0000.00.1521;ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL;APA;GR 4- SUDESTE;1982; 292.599,92 ; 1.073.712,96 ;DEC  87.561 de 13/09/1982;US;MG/RJ/SP;Silveiras, Taubaté, Ubatuba, Parati, Areias, Arujá, Bananal, Cachoeira Paulista, Cunha, Guarulhos, Igaratá, Jacareí, Jambeiro, Lorena, Monteiro Lobato, Natividade da Serra, Nazaré Paulista, Paraibuna, Pindamonhangaba, Redenção da Serra, Salesópol;MATA ATLÂNTICA;23S
0000.00.0020;ÁREA DE PROTEÇÃO AMBIENTAL CARSTE DE LAGOA SANTA;APA;GR 4- SUDESTE;1996; 37.735,58 ; 137.567,40 ;"DEC 98.881 de 25/01/1990; DEC 1.876 de 25/04/1996";US;MG;Funilândia, Jaboticatubas, Prudente de Morais, Pedro Leopoldo, Confins, Vespasiano, Matozinhos, Baldin, Lagoa Santa, São José da Lapa.;CERRADO;23S
0000.00.0002;ÁREA DE PROTEÇÃO AMBIENTAL CAVERNAS DO PERUAÇU;APA;GR 4- SUDESTE;1989; 143.355,59 ; 225.638,81 ;DEC  98.182 de 26/09/1989;US;MG;Bonito de Minas, Cônego Marinho, Januária, Itacarambi, Miravânia, São João das Missões.;CERRADO;23S
0000.00.1912;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DAS ALGAS;APA;GR 4- SUDESTE;2010; 115.001,92 ; 219.217,46 ;DEC S/N de 17/06/2010;US;ES;Aracruz, Fundão, Serra.;MARINHO COSTEIRO;24S
0000.00.3696;ÁREA DE PROTEÇÃO AMBIENTAL DA ARARINHA AZUL;REVIS;GR 2- NORDESTE;2018; 90.641,92 ; 271.274,25 ;DEC 9.402 de 05/06/2018;US;BA;Juazeiro, Curuçá.;CAATINGA;24S
0000.00.0003;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO DESCOBERTO;APA;GR 3 - CENTRO-OESTE;1983; 41.783,61 ; 93.435,20 ;DEC  88.940 de 07/11/1983;US;GO/DF;Brasília, Águas Lindas de Goiás, Padre Bernardo.;CERRADO;22S
0000.00.0004;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO BARTOLOMEU;APA;GR 3 - CENTRO-OESTE;1983; 82.680,80 ; 176.700,71 ;DEC  88.940 de 07/11/1983;US;DF;Brasília.;CERRADO;23S
0000.00.0005;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO/MICO-LEÃO-DOURADO;APA;GR 4- SUDESTE;2002; 150.374,61 ; 369.887,78 ;DEC S/N de 27/06/2002;US;RJ;Silva Jardim, Cachoeiras de Macacu, Rio Bonito, Araruama, Casimiro de Abreu, Rio das Ostras, Cabo Frio, Macaé, Nova Friburgo.;MATA ATLÂNTICA;23S
0000.00.0006;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;APA;GR 5- SUL;2000; 154.867,40 ; 405.831,55 ;DEC S/N de 14/09/2000;US;SC;Florianópolis, Palhoça, Garopaba, Paulo Lopes, Imbituba, Laguna, Jaguaruna, Içara, Tubarão.;MATA ATLÂNTICA;22S
0000.00.0007;ÁREA DE PROTEÇÃO AMBIENTAL DA BARRA DO RIO MAMANGUAPE;APA;GR 2- NORDESTE;1993; 14.917,79 ; 81.747,94 ;"DEC  924 de 10/09/1993; DEC S;N 7/04/1998";US;PB;Rio Tinto, Lucena, Marcação, Baía da Traição.;MATA ATLÂNTICA;25S
0000.00.0008;ÁREA DE PROTEÇÃO AMBIENTAL DA CHAPADA DO ARARIPE;APA;GR 2- NORDESTE;1997; 972.605,18 ; 2.217.957,58 ;DEC S/N de 04/08/1997;US;PI/CE/PE;Barbalha, Brejo Santo, Campos Sales, Crato, Jardim, Jati, Missão Velha, Nova Olinda, Penaforte, Abaiara.;CAATINGA;24S
0000.00.0009;ÁREA DE PROTEÇÃO AMBIENTAL DA COSTA DOS CORAIS;APA;GR 2- NORDESTE;1997; 405.899,99 ; 554.558,00 ;DEC S/N de 23/10/1997;US;PE/AL;Maceió, Paripueira, Barra de Santo Antônio, Passo de Camaragibe, São Miguel dos Milagres, Porto de Pedras, Barreiros, Japarapatinga, Maragogi, Porto Calvo, Rio Formoso, São José da Coroa Grande, São Luis do Quitinde, Tamandaré.;MARINHO COSTEIRO;25S
0000.00.0010;ÁREA DE PROTEÇÃO AMBIENTAL DA REGIÃO SERRANA DE PETRÓPOLIS;APA;GR 4- SUDESTE;1982; 68.224,29 ; 331.888,76 ;"DEC  87.561 de 13/09/1982; DEC  527 de 20/05/1992";US;RJ;Petrópolis, Teresópolis, Guapimirim, Magé, Duque de Caxias, Miguel Pereira, Cachoeiras de Macacu.;MATA ATLÂNTICA;23S
0000.00.0011;ÁREA DE PROTEÇÃO AMBIENTAL DA SERRA DA MANTIQUEIRA;APA;GR 4- SUDESTE;1985; 437.524,57 ; 1.157.115,78 ;"DEC  91.304 de 03/06/1985; LEI 9.097 de 19/09/1995";US;MG/RJ/SP;Santa Rita de Jacutinga, Tremembé, Virgínia, Wenceslau Braz, Itatiaia, Quatis, Resende, Aiuruoca, Al  XXX;MATA ATLÂNTICA;23S
0000.00.0025;ÁREA DE PROTEÇÃO AMBIENTAL DAS ILHAS E VÁRZEAS DO RIO PARANÁ;APA;GR 5- SUL;1997; 1.005.188,39 ; 860.270,77 ;DEC S/N de 30/09/1997;US;SP/PR/MS;Jateí, Mundo Novo, Eldorado,Taquarussu, Itaquari, Guaíra, Diamante do Norte,  Nova Andradina, Batayporã, Rosana, Terra Roxa, Altônia, Marilena, Porto Rico, Querência do Norte, Ivaté, Santa Cruz de Monte Castelo.;MATA ATLÂNTICA;21S
0000.00.0028;ÁREA DE PROTEÇÃO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;APA;GR 3 - CENTRO-OESTE;2001; 176.324,33 ; 257.650,00 ;DEC S/N de 27/09/2001;US;BA/GO;Posse, Mambaí, Damianópolis, Sítio d'Abadia, Jaborandi, Burtinópolis.;CERRADO;23S
0000.00.0013;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;APA;GR 4- SUDESTE;1983; 32.610,78 ; 282.569,89 ;DEC  89.242 de 27/12/1983;US;RJ/SP;Parati, Ubatuba.;MATA ATLÂNTICA;23S
0000.00.0014;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPE-PERUÍBE;APA;GR 4- SUDESTE;1984; 202.309,58 ; 642.826,94 ;"DEC  90.347 de 23/10/1984; DEC  91.892 de 6/11/1985";US;SP;Miracatu, Pedro de Toledo, Peruíbe, Iguape, Ilha Comprida, Jacupiranga, Cananéia,Pariquera-Açú,Itariri.;MATA ATLÂNTICA;23S
0000.00.0015;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA - ROCAS - SÃO PEDRO E SÃO PAULO;APA;GR 2- NORDESTE;1986; 154.405,82 ; 418.252,96 ;DEC 92.755 de 05/06/1986;US;PE;Fernando de Noronha;MARINHO COSTEIRO;25S
0000.00.0016;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;APA;GR 4- SUDESTE;1984; 13.890,54 ; 69.766,00 ;DEC  90.225 de 25/09/1984;US;RJ;Magé, Guapimirim, Itaboraí, São Gonçalo.;MATA ATLÂNTICA;23S
0000.00.0017;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;APA;GR 5- SUL;1985; 282.446,36 ; 260.771,81 ;DEC  90.883 de 31/01/1985;US;SP/PR;Guaraqueçaba, Paranaguá, Antonina, Campina Grande do Sul, Barra do Turvo, Cananéia.;MATA ATLÂNTICA;22S
0000.00.0018;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;APA;GR 2- NORDESTE;1983; 9.107,01 ; 50.312,65 ;DEC  88.421 de 21/06/1983;US;AL;Piaçabuçu, Feliz Deserto.;MATA ATLÂNTICA;24S
0000.00.0019;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAÍBA;APA;GR 2- NORDESTE;1996; 309.593,77 ; 544.451,30 ;DEC S/N de 28/08/1996;US;MA/PI/CE;Paulino Neves, Tutóia, Água Doce do Maranhão, Araioses, Ilha Grande, Parnaíba, Luís Correia, Cajueiro da Praia, Barroquinha, Chaval;CERRADO;23S e 24S
0000.00.3643;ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE SÃO PEDRO E SÃO PAULO;APA;GR 2- NORDESTE;2018; 38.450.193,81 ; 3.260.523,51 ;DEC 9.313 de 19/03/2018;US;PB;;MARINHO COSTEIRO;25S e 26S
0000.00.3633;ÁREA DE PROTEÇÃO AMBIENTAL DO ARQUIPÉLAGO DE TRINDADE E MARTIM VAZ;APA;GR 2- NORDESTE;2018; 40.385.419,59 ; 4.022.824,17 ;DEC 9.312 de 19/03/2018;US;BA;;MARINHO COSTEIRO;25S e 26S
0000.00.3655;ÁREA DE PROTEÇÃO AMBIENTAL DO BOQUEIRÃO DA ONÇA;APA;GR 2- NORDESTE;2018; 505.694,33 ; 606.137,97 ;DEC 9.337 de 05/04/2018;US;BA;Sento Sé, Juazeiro, Sobradinho, Campo Formoso, Umburanas e Morro do Chapeú.;CAATINGA;24S
0000.00.0021;ÁREA DE PROTEÇÃO AMBIENTAL DO IBIRAPUITÃ;APA;GR 5- SUL;1992; 316.792,02 ; 274.760,41 ;DEC  529 de 20/05/1992;US;RS;Alegrete, Rosário do Sul, Santana do Livramento, Quaraí.;PAMPA;21S
0000.00.0022;ÁREA DE PROTEÇÃO AMBIENTAL DO IGARAPÉ GELADO;APA;GR 1 - NORTE;1989; 23.285,09 ; 149.251,13 ;DEC  97.718 de 05/05/1989;US;PA;Parauapebas, Marabá.;AMAZÔNIA;22S
0000.00.0023;ÁREA DE PROTEÇÃO AMBIENTAL DO PLANALTO CENTRAL;APA;GR 3 - CENTRO-OESTE;2002; 503.423,36 ; 1.155.836,09 ;DEC S/N de 10/01/2002;US;GO/DF;Planaltina, Padre Bernardo, Brasília, Águas Claras de Goiás, Cristalina, Cabeceira Grande, Santo Antônio do Descoberto, Formosa, Cidade Ocidental, Novo Gama.;CERRADO;23S
0000.00.0268;ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS;APA;GR 1 - NORTE;2006; 2.040.331,05 ; 3.087.839,55 ;"DEC S/N de 13/02/2006; LEI 12.678 de 25/06/2012";US;PA;Itaituba, Jacareacanga, Trairão, Novo Progresso.;AMAZÔNIA;21S
0000.00.3407;ÁREA DE PROTEÇÃO AMBIENTAL DOS CAMPOS DE MANICORÉ;APA;GR 1 - NORTE;2016; 152.410,20 ; 239.828,73 ;DEC S/N de 11/05/2016;US;AM;Manicoré.;AMAZÔNIA;20S
0000.00.0024;ÁREA DE PROTEÇÃO AMBIENTAL DOS MEANDROS DO RIO ARAGUAIA;APA;GR 3 - CENTRO-OESTE;1998; 359.194,09 ; 582.685,26 ;DEC S/N de 02/10/1998;US;MT/GO;São Miguel do Araguaia, Cocalinho, Nova Crixás, Novo Santo Antônio, Sandolândia, Formoso do Araguaia.;CERRADO;22S
0000.00.0027;ÁREA DE PROTEÇÃO AMBIENTAL MORRO DA PEDREIRA;APA;GR 4- SUDESTE;1990; 131.770,84 ; 216.244,65 ;DEC  98.891 de 26/01/1990;US;MG;Morro do Pilar, Santana do Riacho, Jaboticatubas, Itambé do Mato Dentro,Taquaraçu de Minas,  Nova União, Conceição do Mato Dentro, Itabira.;CERRADO;23S
0000.00.0029;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;APA;GR 2- NORDESTE;1996; 1.628.450,08 ; 870.763,89 ;DEC S/N de 26/11/1996;US;PI/CE;Buriti dos Lopes, Bom Princípio, Cocal, Piracuruca, Piripiri, Brasileira, Pedro II, Lagoa do S. Francisco, Conceição, Domingos Mourão, Chaval, Granja, Moraújo, Tianguá e Viçosa do Ceará.;CAATINGA;24S
0000.00.1683;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA MERUOCA;APA;GR 2- NORDESTE;2008; 29.361,74 ; 195.064,22 ;LEI 11.891 de 24/12/2008;US;CE;Meruoca, Massapê, Alcântara e Sobral.;CAATINGA;24S
0000.00.0012;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA TABATINGA;APA;GR 2- NORDESTE;1990; 41.779,61 ; 119.496,52 ;"DEC  99.278 de 06/06/1990; DEC S/N de 16/07/2002";US;MA/PI;Mateiros, Alto Parnaíba, Formoso do Rio Preto, Barreiras do Piauí.;CERRADO;23S
0000.00.0030;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO BURITI DE VASSUNUNGA;ARIE;GR 4- SUDESTE;1990; 150,98 ; 4.916,71 ;DEC  99.276/1990;US;SP;Santa Rita do Passa Quatro.;MATA ATLÂNTICA;23S
0000.00.0031;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CAPETINGA – TAQUARA;ARIE;GR 3 - CENTRO-OESTE;1985; 2.057,23 ; 29.434,51 ;DEC  91.303 de 03/06/1985;US;DF;Brasília.;CERRADO;23S
0000.00.0032;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO CERRADO PÉ-DE-GIGANTE;ARIE;GR 4- SUDESTE;1990; 1.199,05 ; 14.682,92 ;DEC  99.275 de 06/06/1990;US;SP;Santa Rita do Passa Quatro.;CERRADO;23S
0000.00.0040;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO DA MATA DE SANTA GENEBRA;ARIE;GR 4- SUDESTE;1985; 241,55 ; 8.497,55 ;DEC  91.885 de 05/11/1985;US;SP;Campinas.;MATA ATLÂNTICA;23S
0000.00.0035;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO FLORESTA DA CICUTA;ARIE;GR 4- SUDESTE;1985; 125,14 ; 5.218,97 ;DEC  90.792 de 09/01/1985;US;RJ;Barra Mansa, Volta Redonda.;MATA ATLÂNTICA;23S
0000.00.0036;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHA DO AMEIXAL;ARIE;GR 4- SUDESTE;1984; 358,89 ; 9.220,50 ;DEC  91.889 de 05/11/1985;US;SP;Peruíbe.;MATA ATLÂNTICA;23S
0000.00.0037;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO ILHAS DA QUEIMADA PEQUENA E QUEIMADA GRANDE;ARIE;GR 4- SUDESTE;1985; 65,17 ; 7.093,58 ;DEC  91.887 de 05/11/1985;US;SP;Peruíbe.;MARINHO COSTEIRO;23S
0000.00.0038;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO JAVARÍ-BURITI;ARIE;GR 1 - NORTE;1985; 13.177,12 ; 73.094,45 ;DEC  91.886 de 05/11/1985;US;AM;Santo Antônio do Içá.;AMAZÔNIA;19S
0000.00.0039;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MANGUEZAIS DA FOZ DO RIO MAMANGUAPE;ARIE;GR 2- NORDESTE;1985; 5.769,54 ; 42.875,70 ;DEC  91.890 de 05/11/1985;US;PB;Rio Tinto, Marcação.;MATA ATLÂNTICA;25S
0000.00.0041;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO MATÃO DE COSMÓPOLIS;ARIE;GR 4- SUDESTE;1985; 173,09 ; 8.189,13 ;DEC  90.791 de 09/01/1985;US;SP;Cosmópolis, Artur Nogueira.;MATA ATLÂNTICA;23S
0000.00.0043;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO PROJETO DINÂMICA BIOLÓGICA DE FRAGMENTOS FLORESTAIS;ARIE;GR 1 - NORTE;1985; 3.180,05 ; 69.438,51 ;DEC  91.884 de 05/11/1985;US;AM;Rio Preto da Eva, Manaus.;AMAZÔNIA;21S
0000.00.0044;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERINGAL NOVA ESPERANÇA;ARIE;GR 1 - NORTE;1999; 2.573,98 ; 22.323,41 ;DEC S/N de 20/08/1999;US;AC;Epitaciolândia, Xapuri.;AMAZÔNIA;19S
0000.00.0045;ÁREA DE RELEVANTE INTERESSE ECOLÓGICO SERRA DA ABELHA;ARIE;GR 5- SUL;1990; 5.016,60 ; 41.982,94 ;DEC S/N de 28/05/1996;US;SC;Vitor Meireles, Santa Terezinha.;MATA ATLÂNTICA;22S
0000.00.3131;ESTAÇÃO ECOLÓGICA ALTO MAUÉS;ESEC;GR 1 - NORTE;2014; 665.673,53 ; 691.913,00 ;DEC S/N de 16/10/2014;PI;AM;Maués.;AMAZÔNIA;21S
0000.00.0263;ESTAÇÃO ECOLÓGICA DA GUANABARA;ESEC;GR 4- SUDESTE;2006; 1.936,25 ; 21.752,51 ;DEC S/N de 15/02/2006;PI;RJ;Guapimirim, Itaboraí, São Gonçalo.;MATA ATLÂNTICA;23S
0000.00.0261;ESTAÇÃO ECOLÓGICA DA MATA PRETA;ESEC;GR 5- SUL;2005; 6.573,48 ; 101.854,71 ;DEC S/N de 19/10/2005;PI;PR/SC;Abelardo Luz, Clevelândia, Palmas.;MATA ATLÂNTICA;22S
0000.00.0075;ESTAÇÃO ECOLÓGICA DA SERRA DAS ARARAS;ESEC;GR 3 - CENTRO-OESTE;1982; 27.159,71 ; 110.516,28 ;DEC  87.222, de 31/05/1982.;PI;MT;Porto Estrela.;CERRADO;21S
0000.00.0047;ESTAÇÃO ECOLÓGICA DA TERRA DO MEIO;ESEC;GR 1 - NORTE;2005; 3.373.174,68 ; 1.419.204,29 ;DEC S/N de 17/02/2005;PI;PA;Altamira, São Félix do Xingu.;AMAZÔNIA;21S e 22S
0000.00.0048;ESTAÇÃO ECOLÓGICA DE AIUABA;ESEC;GR 2- NORDESTE;2001; 11.746,78 ; 73.869,15 ;DEC S/N, de 06/02/2001;PI;CE;Aiuaba.;CAATINGA;24S
0000.00.0050;ESTAÇÃO ECOLÓGICA DE ARACURI-ESMERALDA;ESEC;GR 5- SUL;1981; 276,98 ; 7.028,11 ;DEC  86.061 de 2/6/1981.;PI;RS;Muitos Capões.;MATA ATLÂNTICA;22S
0000.00.0052;ESTAÇÃO ECOLÓGICA DE CARIJÓS;ESEC;GR 5- SUL;1987; 759,34 ; 33.157,66 ;DEC 94.656, de 20/07/1987;PI;SC;Florianópolis.;MATA ATLÂNTICA;22S
0000.00.0053;ESTAÇÃO ECOLÓGICA DE CUNIÃ;ESEC;GR 1 - NORTE;2001; 185.313,61 ; 356.945,83 ;"DEC S/N de 27/09/2001; DEC S/N de 21/12/2007; DEC S/N de 13/03/2008;; LEI 12.249 de 11/06/2010";PI;RO/AM;Canutama, Porto Velho.;AMAZÔNIA;20S
0000.00.0054;ESTAÇÃO ECOLÓGICA DE GUARAQUEÇABA;ESEC;GR 5- SUL;1982; 4.370,15 ; 244.231,63 ;"DEC 87.222, de 31/05/1982; DEC  93.053, de 31/07/1986; LEI 9.513, de 20/11/1997";PI;PR;Guaraqueçaba.;MATA ATLÂNTICA;22S
0000.00.0056;ESTAÇÃO ECOLÓGICA DE JUTAÍ-SOLIMÕES;ESEC;GR 1 - NORTE;1983; 289.514,17 ; 353.165,76 ;"DEC  88.541, de 21/7/1983; Portaria 375, de 11/10/2001";PI;AM;Santo Antônio do Içá, Tonantins, Jutaí, Amaturá.;AMAZÔNIA;19S
0000.00.0057;ESTAÇÃO ECOLÓGICA DE MARACÁ;ESEC;GR 1 - NORTE;1981; 103.519,87 ; 217.330,68 ;DEC  86.061, de 02/06/1981;PI;RR;Amajari, Alto Alegre.;AMAZÔNIA;20N
0000.00.0058;ESTAÇÃO ECOLÓGICA DE MARACÁ-JIPIOCA;ESEC;GR 1 - NORTE;1981; 58.756,95 ; 115.035,75 ;DEC 86.061 de 02/06/1981;PI;AP;Amapá.;AMAZÔNIA;22N
0000.00.0059;ESTAÇÃO ECOLÓGICA DE MURICI;ESEC;GR 2- NORDESTE;2001; 6.131,63 ; 63.508,77 ;DEC S/N, de 28/05/2001;PI;AL;Murici, Flexeiras, Messias.;MATA ATLÂNTICA;25S
0000.00.0061;ESTAÇÃO ECOLÓGICA DE PIRAPITINGA;ESEC;GR 4- SUDESTE;1987; 1.384,50 ; 27.149,37 ;DEC 94.656, de 20/07/1987;PI;MG;Morada Nova de Minas.;CERRADO;23S
0000.00.0062;ESTAÇÃO ECOLÓGICA DE TAIAMÃ;ESEC;GR 3 - CENTRO-OESTE;1981; 11.554,98 ; 96.985,35 ;DEC  86.061, de 02/06/1981;PI;MT;Poconé.;PANTANAL;21S
0000.00.0063;ESTAÇÃO ECOLÓGICA DE TAMOIOS;ESEC;GR 4- SUDESTE;1990; 8.660,35 ; 140.056,82 ;DEC   98.864, de 23/01/1990.;PI;RJ;Angra dos Reis, Parati.;MATA ATLÂNTICA;23S
0000.00.0065;ESTAÇÃO ECOLÓGICA DE URUÇUI-UNA;ESEC;GR 2- NORDESTE;1981; 135.122,29 ; 169.368,58 ;DEC  86.061, de 02/06/1981.;PI;PI;Baixa Grande do Ribeiro.;CERRADO;23S
0000.00.0066;ESTAÇÃO ECOLÓGICA DO CASTANHÃO;ESEC;GR 2- NORDESTE;2001; 12.574,64 ; 350.714,98 ;DEC S/N, de 27/09/2001;PI;CE;Jaguaribara, Alto Santo, Iracema.;CAATINGA;24S
0000.00.0067;ESTAÇÃO ECOLÓGICA DO JARI;ESEC;GR 1 - NORTE;1982; 231.082,09 ; 433.396,73 ;"DEC  87.092, de 12/04/1982; DEC 89.440, de 13/03/1984";PI;PA/AP;Laranjal do Jari, Almeirim.;AMAZÔNIA;22S
0000.00.0069;ESTAÇÃO ECOLÓGICA DO SERIDÓ;ESEC;GR 2- NORDESTE;1982; 1.123,61 ; 22.142,11 ;DEC  87.222, de 31/05/1982;PI;RN;Serra Negra do Norte.;CAATINGA;24S
0000.00.0070;ESTAÇÃO ECOLÓGICA DO TAIM;ESEC;GR 5- SUL;1986; 32.806,31 ; 117.453,42 ;"DEC 92.963, de 21/07/1986; DEC S/N de 05/06/2003; DEC S/N de 05/06/2017";PI;RS;Rio Grande, Santa Vitória do Palmar.;PAMPA;22S
0000.00.0071;ESTAÇÃO ECOLÓGICA DOS TUPINIQUINS;ESEC;GR 4- SUDESTE;1986; 1.727,71 ; 31.309,06 ;DEC 92.964, de 21/07/1986;PI;SP;Peruíbe.;MARINHO COSTEIRO;23S
0000.00.0072;ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ;ESEC;GR 1 - NORTE;2001; 831.531,61 ; 574.808,71 ;DEC 91.307, de 03/06/1985;PI;AM;Japurá.;AMAZÔNIA;19S
